Model,Label,Sensitivity,Specificity,Accuracy
all-MiniLM-L12-v2,No Finding,0.8860096993100341 ± 0.017809927342009868,0.9025831662982059 ± 0.010293763469857274,0.8961800818553888 ± 0.009251831832570771
all-MiniLM-L12-v2,Enlarged Cardiom.,0.4393435127189109 ± 0.05991620204398727,0.9970364710293094 ± 0.001472984387881824,0.9395634379263302 ± 0.007584824351387524
all-MiniLM-L12-v2,Cardiomegaly,0.5143482206450878 ± 0.0660577936357847,0.9982038658454233 ± 0.0014638543878083255,0.9549113233287858 ± 0.008535874904255471
all-MiniLM-L12-v2,Lung Lesion,0.8103712008818194 ± 0.020661217728161752,0.9531414384207547 ± 0.008600899635821085,0.9074351978171897 ± 0.009925141698278381
all-MiniLM-L12-v2,Lung Opacity,0.8330192828647235 ± 0.019687923392877466,0.9577254977932569 ± 0.007408381515268659,0.9186221009549795 ± 0.008907194932726212
all-MiniLM-L12-v2,Edema,0.0 ± 0.0,1.0 ± 0.0,0.9884038199181446 ± 0.004735758515064076
all-MiniLM-L12-v2,Consolidation,0.0 ± 0.0,1.0 ± 0.0,0.9919508867667123 ± 0.0026559239200452506
all-MiniLM-L12-v2,Pneumonia,0.0 ± 0.0,1.0 ± 0.0,0.9896316507503411 ± 0.0029068589021367624
all-MiniLM-L12-v2,Atelectasis,0.7231592115334797 ± 0.054806706374230844,0.9928580679871297 ± 0.002512391379644174,0.9702592087312416 ± 0.0041738222485070515
all-MiniLM-L12-v2,Pneumothorax,0.0 ± 0.0,1.0 ± 0.0,0.9933833560709415 ± 0.003207453736837312
all-MiniLM-L12-v2,Pleural Effusion,0.07886934034973984 ± 0.056801683664567344,0.9997878279740009 ± 0.0005050816223730097,0.9624829467939973 ± 0.007589730447858744
all-MiniLM-L12-v2,Pleural Other,0.0 ± 0.0,1.0 ± 0.0,0.9792633015006821 ± 0.004557515167391564
all-MiniLM-L12-v2,Fracture,0.0 ± 0.0,1.0 ± 0.0,0.9764665757162347 ± 0.00515672708118177
all-MiniLM-L12-v2,Support Devices,0.19376014289138574 ± 0.03421816958989706,1.0 ± 0.0,0.9356753069577082 ± 0.007196695391711649
multi-qa-mpnet-base-dot-v1,No Finding,0.8979434992468194 ± 0.01668920700819197,0.92962866972287 ± 0.011959015733186716,0.9174624829467941 ± 0.010140565311949864
multi-qa-mpnet-base-dot-v1,Enlarged Cardiom.,0.7064050342990869 ± 0.05705336681445104,0.979171166611185 ± 0.00675097709567871,0.9512960436562073 ± 0.007436136466527496
multi-qa-mpnet-base-dot-v1,Cardiomegaly,0.7667391651734052 ± 0.06727183591474808,0.9855385843760585 ± 0.0041670852367889435,0.9662346521145976 ± 0.00533413816221618
multi-qa-mpnet-base-dot-v1,Lung Lesion,0.8536976892637915 ± 0.020567039938129847,0.938781714425353 ± 0.011064428133653078,0.9113915416098226 ± 0.008633437122637432
multi-qa-mpnet-base-dot-v1,Lung Opacity,0.8572785316698479 ± 0.024854319363207512,0.9418743085434264 ± 0.008168951884314435,0.9152114597544339 ± 0.010356450054282474
multi-qa-mpnet-base-dot-v1,Edema,0.6213995726495726 ± 0.18315341762381002,0.995584697818613 ± 0.002289434428998599,0.9914733969986358 ± 0.0030160560667713697
multi-qa-mpnet-base-dot-v1,Consolidation,0.286547619047619 ± 0.15977892121901063,0.9985565482369585 ± 0.0014049076445823666,0.9927012278308321 ± 0.002902854410771245
multi-qa-mpnet-base-dot-v1,Pneumonia,0.38606601731601725 ± 0.17519641501286606,0.9957300898426702 ± 0.002778669622391212,0.9892223738062755 ± 0.002825691020082945
multi-qa-mpnet-base-dot-v1,Atelectasis,0.7330775772506863 ± 0.059584767595893366,0.9834587602155211 ± 0.0046283507114628555,0.9624147339699866 ± 0.007650487118720163
multi-qa-mpnet-base-dot-v1,Pneumothorax,0.5236904761904762 ± 0.2576136288049057,0.9991065630032029 ± 0.0011745491712511194,0.9960436562073671 ± 0.0021955630203862224
multi-qa-mpnet-base-dot-v1,Pleural Effusion,0.5844006500282682 ± 0.12010367573980454,0.986849618172687 ± 0.0036316109963785417,0.9706002728512961 ± 0.006521017539991129
multi-qa-mpnet-base-dot-v1,Pleural Other,0.3073065155089149 ± 0.11740740237634993,0.9910138882566016 ± 0.004298767827804953,0.9766712141882673 ± 0.005606745590186764
multi-qa-mpnet-base-dot-v1,Fracture,0.44711096939509243 ± 0.11345029066173583,0.9925961181023683 ± 0.00296597349323218,0.9796725784447476 ± 0.004090495047903119
multi-qa-mpnet-base-dot-v1,Support Devices,0.615006130651925 ± 0.07102727111490419,0.9816257904648221 ± 0.003872964237264382,0.952319236016371 ± 0.0071733820006463075
all-MiniLM-L6-v2,No Finding,0.8824841880734657 ± 0.015427401285629128,0.9050253881258354 ± 0.010877305125569278,0.8963165075034107 ± 0.008036385525251363
all-MiniLM-L6-v2,Enlarged Cardiom.,0.5708625873146399 ± 0.050951403812893044,0.9958179962243469 ± 0.0024002288867592124,0.9520463847203274 ± 0.006446382549157846
all-MiniLM-L6-v2,Cardiomegaly,0.6308025965055342 ± 0.05835928233881703,0.9969984104318635 ± 0.0019086973735195183,0.9642564802182811 ± 0.007149016374665152
all-MiniLM-L6-v2,Lung Lesion,0.8363095940060298 ± 0.01916159017483479,0.950596651684809 ± 0.007142409156396623,0.9139836289222373 ± 0.00914637062966729
all-MiniLM-L6-v2,Lung Opacity,0.8405780766687332 ± 0.02055950868765307,0.9523775432994703 ± 0.0077584123054655375,0.9172578444747611 ± 0.009434847080765809
all-MiniLM-L6-v2,Edema,0.0 ± 0.0,1.0 ± 0.0,0.9884038199181446 ± 0.004735758515064076
all-MiniLM-L6-v2,Consolidation,0.0 ± 0.0,1.0 ± 0.0,0.9919508867667123 ± 0.0026559239200452506
all-MiniLM-L6-v2,Pneumonia,0.0 ± 0.0,1.0 ± 0.0,0.9896316507503411 ± 0.0029068589021367624
all-MiniLM-L6-v2,Atelectasis,0.7707193744268105 ± 0.0373309947068143,0.9897949044386744 ± 0.004027154699539231,0.9714188267394268 ± 0.004281135957575219
all-MiniLM-L6-v2,Pneumothorax,0.0 ± 0.0,1.0 ± 0.0,0.9933833560709415 ± 0.003207453736837312
all-MiniLM-L6-v2,Pleural Effusion,0.07238258701356196 ± 0.04461851687884043,0.9996454785705513 ± 0.0006140630427009574,0.9621418826739427 ± 0.0074458289141616655
all-MiniLM-L6-v2,Pleural Other,0.0 ± 0.0,1.0 ± 0.0,0.9792633015006821 ± 0.004557515167391564
all-MiniLM-L6-v2,Fracture,0.0 ± 0.0,1.0 ± 0.0,0.9764665757162347 ± 0.00515672708118177
all-MiniLM-L6-v2,Support Devices,0.19358647351474997 ± 0.04566358131546807,0.9994074883004924 ± 0.0008664587067335009,0.9350613915416099 ± 0.007782243217981826
